x,y
-9.5,-141
2.5,-145
10.5,-141
16.5,-139
16.5,-143
24.71467042408946,-139.83586068195672
31.8326963767026,-137.593774928278
38.36546407488312,-140.47078131687735
42.5,-145
48.5,-139
51.69879740821647,-133.8041146502107
54.5,-129
59.5,-128
61.5,-134
72.5,-127
73.5,-122
77.5,-114
87.25435296377206,-111.26443211052812
95.5,-108
98.5,-97
103.5,-88
102.5,-81
97.5,-70
91.5,-60
93.5,-58
87.5,-52
87.5,-48
85.5,-58
84.5,-63
84.5,-67
83.5,-68
80.27022597964508,-68.40728925338522
74.5,-69
73.5,-66
73.5,-62
69.5,-70
62.5,-69
62.5,-73
61.5,-74
57.5,-78
57.73054343996251,-82.3755432216392
51.5,-84
50.4289561383752,-77.61363845973443
44.5,-75
43.5,-80
38.5,-81
38.5,-77
38.5,-73
37.09562280504185,-68.08982893592488
34.5,-65
29.15911486853391,-68.08982893592488
20.5,-71
14.5,-69
11.5,-68
7.2543529637719795,-71.58189242798838
0.5,-75
-3.5,-79
-10.5,-82
-15.6027898933709,-82.6930035390995
-13.063107353688359,-78.56601941211537
-9.88850417908518,-76.34379718989314
-5.5,-73
-2.5,-70
-6.713901004482002,-69.99459084068678
-12.5,-72
-15.6027898933709,-73.80411465021061
-21.5,-77
-25.76152005210107,-80.47078131687728
-32.5,-84
-37.50755179813283,-79.51840036449632
-43.5,-75
-45.76152005210109,-68.72474957084552
-49.5,-65
-50.20596449654554,-59.83586068195662
-55.60278989337094,-56.343797189893124
-62.586916877497934,-53.48665433275026
-67.3488216394027,-57.613638459734396
-68.61866290924397,-64.28030512640106
-72.7456470362281,-68.08982893592488
-79.41231370289478,-64.59776544386139
-83.5,-59
-93.5,-57
-94.5,-46
-84.5,-48
-79.7297740203551,-45.55014639624232
-76.55517084575192,-43.32792417402009
-70.20596449654556,-40.15332099941691
-66.5,-38
-60.364694655275706,-34.756495602591514
-47.5,-47
-36.5,-52
-23.5,-47
-10.5,-34
-9.571043861624863,-20.470781316877215
-16.555170845751853,-20.153320999416913
-18.777393067974078,-19.835860681956596
-22.269456560037575,-21.423162269258185
-22.904377194958208,-24.597765443861363
-21.951996242577255,-28.089828935924857
-18.45993275051376,-27.77236861846454
-15.920250210831218,-26.502527348623268
-15.6027898933709,-24.280305126401046
-15.920250210831218,-22.375543221639138
-10.523424814005816,-14.439035285131176
-12.745647036228041,-8.724749570845455
-15.285329575910582,-3.327924174020053
-20.5,0
-27.5,1
-33.3805676711487,1.1165202704243962
-41.95199624257727,-0.7882416343375106
-47.5,-3
-52.110726401307446,-8.08982893592482
-55.28532957591062,-15.708876554972447
-56.555170845751896,-24.597765443861345
-56.23771052829158,-31.264432110528016
-54.5,-38
-41.63453592511696,-49.04220988830581
-29.253583544164567,-49.04220988830581
-17.5,-41
-8.936123226704227,-26.185067031162934
-7.03136132194232,-20.78824163433753
-3.221837512418507,-21.105701951797847
8.206733916152933,-23.962844808940726
8.524194233613251,-26.18506703116295
10.746416455835476,-26.502527348623268
13.286098995518017,-25.867606713702635
14.238479947898972,-24.280305126401046
14.238479947898972,-21.423162269258185
10.746416455835476,-19.20094004703596
12.016257725676747,-19.20094004703596
8.206733916152933,-21.105701951797865
-0.5,-28
1.5,-34
3.5,-36
10.428956138375158,-41.423162269258185
14.238479947898972,-45.232686078782
20.27022597964501,-47.77236861846454
26.5,-49
37.5,-46
41.5,-42
47.5,-40
51.06387677329583,-27.772368618464522
50.746416455835515,-11.899352745448633
44.39721010662916,-2.058082904178782
31.69879740821645,1.1165202704243962
13.286098995518017,-1.1057019517978464
6.301972011391027,-10.94697179306768
0.9051466145656242,-20.470781316877215
3.7622894717084843,-15.07395592005181
9.476575185994204,-5.232686078781978
20.27022597964501,-0.15332099941687505
38.5,-1
48.524194233613294,-5.867606713702595
50.746416455835515,-20.153320999416895
49.794035503454566,-33.48665433275024
55.5,-36
66.5,-37
72.5,-43
78.5,-41
92.5,-43
92.5,-35
90.5,-17
86.5,-5
80.5,9
73.5,18
