x,y
-3,-48.5
-1,-53.5
3,-61.5
4.503761638744521,-65.15331510795038
7.412852547835432,-70.60786056249583
11,-73.5
-0.047923472040054794,-48.00080657664408
5.594670729653613,-48.062406017041276
13,-48.5
24.503761638744535,-46.607860562495816
35,-45.5
49,-42.5
65,-38.5
73,-28.5
73,-20.5
67,-9.5
58.68557982056274,-4.7896787443139734
42.947259196618624,-5.017270207208369
27.762074011433427,-5.017270207208369
10.72503697439638,-4.646899836837998
-4.460148210788814,-4.646899836837998
-20.01570376634438,-5.017270207208369
-37.052740803381425,-5.017270207208369
-56.58714745216461,-4.062406017041246
-45,-5.5
-29,-5.5
-13,-5.5
3,-5.5
19,-5.5
35,-5.5
51,-5.5
59,2.5
55,16.5
52.50376163874455,26.48304852841332
49,35.5
43,48.5
35,60.5
29,67.5
21,75.5
13,79.5
-1,84.5
-13,76.5
-21,70.5
-29,62.5
-37,50.5
-43,39.5
-46.40532927034642,32.66486671023151
-49,24.5
-51,15.5
-53.6780565430737,5.392139437504214
-63,-10.5
-67,-16.5
-68.22351108852826,-23.698769653404895
-67,-30.5
-63,-36.5
-53,-39.5
-35,-44.5
-21,-47.5
-11.60147097505237,-47.95969927117256
