x,y
149,13
148,16
147,19
146,22
146,26
145,29
144,32
143,35
141,41
137,49
134,54
131,59
128,64
127,67
123,71
120,76
116,80
112,84
108,88
104,92
99,95
94,98
90,102
85,105
82,110
83.24550874380728,115.91000586452306
84.28446978276831,123.18273313725035
85.84291134120987,130.45546040997763
86.62213212043066,136.16974612426336
90.2584957567943,141.62429157880882
94.93382043211898,145.26065521517245
99.3494048477034,148.8970188515361
104,152
106,154
111.03771653601511,157.4684474229647
117,161
119,163
117,169
108,168
100,168
92.8558983541969,168.11779807231534
87,171
83,175
78,178
74,174
72,172
70,170
68,168
64,168
56,168
49,169
43,167
47,163
51,159
56,156
60,152
64,148
67,143
70,138
69.998755497054,131.49442144893868
68,124
67,115
64,112
53,113
45,113
36,112
31,111
30,114
29,117
30,122
31,127
33,129
37.01174251004097,132.79312274763998
42,138
44,140
46,142
48,144
42,146
36.752002250300706,146.2996162541335
31,147
25,149
15,151
7,155
1,157
-5,159
-12,160
-10,162
-13,155
-16.18782997792297,151.16525576725127
-20,148
-21,139
-11,137
-5,135
7,131
11,127
15,123
16,116
15,107
9,105
1,101
8,96
22,94
35,91
51,87
63,83
75,79
80,76
69,81
57,85
45,89
29,93
15.860130328632957,95.14443203969
0,96
-7.923322425024028,95.13078508530225
-15,93
-22,90
-29,87
-42,82
-42,86
-40.131114632816285,92.53338248789966
-37.533712035413686,99.02688898140616
-36,104
-35,109
-33.37786787956952,115.6502656047828
-31.5596860613877,122.40351235802957
-30.00124450294614,128.11779807231528
-28.442802944504578,134.0918240463413
-27,141
-27,145
-24,148
-25,151
-29,155
-35,153
-40.6505951522968,149.93597989049715
-45.84540034710201,145.780135734653
-50,142
-50,134
-50,126
-51,117
-54,106
-56,96
-58,90
-60,84
-60.91033541203709,78.76714872166586
-63,73
-69,71
-71,69
-79,65
-84,60
-82,62
-86,54
-87,45
-66,50
-54.93630943801111,53.57234352686063
-43,57
-31.04020554190718,59.02688898140609
-20.390854892556515,57.98792794244505
-4.027218528920127,55.910005864522965
7.401352899651319,54.091824046341145
18.050703549001984,51.75416170867881
21.687067185365624,50.71520066971777
11.55719705549548,53.052863007380104
2.2065477048461166,55.39052534504245
-13.118127619829231,56.68922664374375
-25.32591982762146,58.50740846192557
-37.273971775673424,58.24766820218531
-49,55
-60,52
-76,48
-92,40
-98,34
-99,25
-99,17
-98,10
-89,7
-74,6
-62,6
-45,7
-26,10
-7,13
8,16
14,18
3,15
-17,11
-36,8
-54,6
-66,6
-82,6
-94,6
-92.55915010328889,0.37276807719734656
-92,-4
-89,-9
-85,-13
-72,-16
-78,-14
-88.7616817488585,-17.60191546710648
-91,-23
-93.06547921721294,-28.234826859511557
-95,-35
-95,-39
-98,-46
-101,-53
-104,-60
-106,-62
-109,-69
-111,-71
-113,-73
-119,-83
-121,-85
-123,-87
-128,-96
-130,-98
-134,-106
-136,-108
-139,-115
-141,-117
-144,-124
-146,-126
-149,-133
-150,-142
-147,-147
-143,-151
-137,-153
-130,-154
-128,-152
-126,-150
-124,-148
-123,-143
-119,-147
-114,-150
-107,-151
-101,-149
-96,-144
-94,-142
-91,-139
-90,-134
-90,-130
-90,-126
-90,-122
-91,-119
-87,-103
-85,-89
-83,-75
-82,-62
-81,-57
-80,-52
-79,-43
-78.1287305393154,-38.01034865160108
-76,-32
-74,-26
-72,-20
-66,-18
-61,-17
-55,-19
-50,-22
-42.17940326784577,-21.14621926457484
-30.786998204554614,-17.855080024068503
-20.660415926073586,-14.56394078356217
-14,-18
-9,-21
-0.15408681214951916,-21.905712935460915
9.972495466331509,-21.905712935460915
20.858571415698613,-23.93102939115712
30.985153694179644,-25.7031812898913
39.33958407392649,-26.462674960777377
44.14971065620498,-24.943687619005225
42.3775587574708,-21.14621926457484
39,-17
34,-14
27,-13
20,-12
7.18768533974924,-9.500649644321657
-13.318643774174841,-13.044953441790016
-7,-11
-2,-10
16,-8
25,-7
33,-7
41,-7
49.71933090936956,1.6385908620074752
61,13
65,17
69,21
71,23
67,19
63,15
55.0357866055721,7.714540229096092
44,-4
46.428191668863214,-32.538624327865996
45,-39
41,-43
45.162368884053095,-46.209510403815386
49.21300179544551,-51.525966100017925
47.1876853397493,-57.85508002406856
49.466166352407534,-63.1715357202711
50.98515369417969,-69.50064964432175
50.73198913721766,-74.8171053405243
50,-78
45,-79
41,-79
40,-76
39,-73
39.086419516964476,-63.93102939115718
39.3395840739265,-58.61457369495464
44.149710656204995,-55.32343445444831
52.25097647898981,-59.374067365840716
54.27629293468602,-66.96900407470149
55.288951162534126,-72.79178888482808
54.78262204861007,-79.12090280887872
50.98515369417969,-83.93102939115721
44.149710656204995,-86.96900407470152
38,-86
34,-82
33,-79
30,-74
28,-68
26,-62
26,-54
35,-45
33,-47
19,-53
12,-56
3,-61
1,-63
-1,-69
-3,-71
-5,-73
-6,-78
-8.255352634934342,-83.17153572027114
-9,-89
-7.749023521010276,-94.56394078356229
-3,-91
1,-87
9,-83
13,-87
17,-91
21,-95
26,-98
30,-102
35,-105
40,-104
37,-99
33,-95
30,-90
26,-86
22,-82
19,-77
15,-73
12,-68
8,-64
4,-56
0,-52
-4,-48
-4.711048837465968,-50.51330787216982
-8.002188077972301,-49.50064964432172
-9.521175419744456,-52.538624327866025
-11.799656432402687,-56.58925723925844
-14.078137445060918,-61.1462192645749
-15.597124786833072,-67.72849774558757
-14.331302002022944,-70.76647242913188
-10,-70
-8.76168174885838,-66.71583951773947
-6.736365293162187,-62.41204204938503
-4,-56
-11.546491875440662,-74.31077622660024
-15.8502893437951,-77.8550800240686
