x,y
-122,45.5
-122,37.5
-122,29.5
-122,21.5
-122,13.5
-122,5.5
-122,-2.5
-122,-10.5
-122,-18.5
-122,-26.5
-122,-34.5
-122,-42.5
-121.91651179914582,-46.218915197935345
-121.72043336777327,-50.924797550876534
-127.4067078775772,-51.31695441362163
-138,-60.5
-142.37737446167216,-65.31345027644898
-141.24529898997406,-71.35118612550558
-135.44841973457002,-75.36308047097471
-135.00397529012557,-75.36308047097471
-127.66039332959669,-75.12477103116596
-122.33730862345888,-71.14085824875248
-122.11508640123665,-71.14085824875248
-122,-64.5
-125.89286417901444,-60.25196935986357
-132,-59.5
-134.465531406989,-51.12087598224908
-140.11322351827596,-51.35118612550557
-140,-43.5
-140,-35.5
-140,-27.5
-140,-19.5
-140,-11.5
-140,-3.5
-140,4.5
-140,12.5
-140,20.5
-140,28.5
-140,36.5
-140,44.5
-146.90567634846462,53.177115761286935
-157.935201204554,53.98429843315411
-157.935201204554,58.50810795696364
-158.17329644264925,66.36525081410652
-157.935201204554,70.88906033791605
-148.41139168074446,71.36525081410652
-139.83996310931587,70.88906033791605
-131.2685345378873,71.12715557601128
-124.6018678712206,68.50810795696366
-122.69710596645871,61.60334605220174
-122,53.5
-98.23057650548536,51.648553447366126
-94,57.5
-89.55239871087612,62.72623401078113
-84.17605462485461,66.59720175271661
-76.86422666786535,69.17784691400695
-70.6276675280804,70.03806196777039
-63.961000861413716,70.03806196777039
-57.509387958187894,68.74773938712522
-52.99325892592982,65.95204046239404
-48,62.5
-42,57.5
-37.724441721628715,52.188599602178954
-36,44.5
-34.8856090754212,35.244715116284794
-34,25.5
-34,17.5
-34,9.5
-32,2.5
-26.688887763945782,11.638157739235604
-22,19.5
-16,30.5
-12,38.5
-8.262076130230815,45.521932935512275
-4,50.5
0,58.5
7.866956127833731,66.1670942258349
17.97448300955418,69.60795444088866
37.97448300955422,71.11333078497469
43.135773332134875,70.89827702153383
49.80243999880155,70.89827702153383
55.608891611704784,71.11333078497469
75.63622736687496,70.65096509982081
81.58860831925593,70.88906033791605
88.01717974782736,71.12715557601128
94.20765593830356,71.12715557601128
93.73146546211308,65.17477462363031
94,57.5
94,49.5
94,41.5
93.73146546211308,36.6033460522017
99.92194165258928,33.5081079569636
108.01717974782738,29.698584147439785
110.63622736687502,7.317631766487367
118.01717974782741,3.5081079569635514
124,-1.5
124,-9.5
124,-17.5
122,-22.5
117.77908450973217,-27.444272995417453
112,-31.5
104.44575117639882,-28.872844423988884
98,-26.5
96.11241784306547,-19.58713013827458
93.96956070020832,-14.110939662084096
92.77908450973213,-7.9204634716078965
93.25527498592261,-0.7776063287507415
94,7.5
96,14.5
104,10.5
114,25.5
122,21.5
125.87432260497027,20.174774623630245
126,23.5
126,31.5
126,39.5
126,47.5
126,55.5
126,63.5
125.63622736687503,71.36525081410652
131.588608319256,71.12715557601128
138.9695607002084,71.36525081410652
144.20765593830365,70.88906033791605
143.9695607002084,66.36525081410652
144,60.5
144,52.5
144,44.5
144,36.5
144,28.5
144,20.5
144,12.5
144,4.5
144,-3.5
144,-11.5
143.9695607002084,-19.825225376369822
142,-28.5
138.9695607002084,-35.53951109065556
134,-42.5
126,-48.5
114,-52.5
106.11241784306549,-51.72998728113178
98,-50.5
90,-46.5
84,-39.5
78,-30.5
76,-23.5
76,-15.5
76,-7.5
76,0.5
76,8.5
76,22.5
76,30.5
76,38.5
76,46.5
76,54.5
76,62.5
56,62.5
56,54.5
56,46.5
56,38.5
56,30.5
56,22.5
56,14.5
56,6.5
56,-1.5
56,-9.5
56,-17.5
56,-25.5
56,-33.5
56,-41.5
55.909349591307,-47.107844231401366
55.909349591307,-51.01589020841287
50.806535288003865,-51.40749731505493
48,-59.5
41.350513081160614,-60.30141585256035
38,-66.5
38,-74.5
