x,y
-169.36590497305454,26.069016428276793
-165.86590497305454,27.069016428276793
-162,26.5
-156.03735686294897,26.057234408383287
-153.3613005249208,18.874135816833974
-150.82608925731515,11.268502014017056
-148.9951033418222,4.930473845002955
-146,4.5
-146,8.5
-146,12.5
-146,16.5
-146,20.5
-143.5021455953433,26.62061469007343
-138.57256813055457,27.043149901341035
-136,25.5
-134,20.5
-130,14.5
-128,9.5
-124.99090497305443,7.194016428276744
-122,2.5
-122.86590497305443,9.194016428276749
-124,13.5
-125.97215953189873,18.471149375342534
-127.82401138375057,22.45263085682401
-128,25.5
-122,26.5
-116,25.5
-108,25.5
-103.74090497305438,25.819016428276793
-100,25.5
-97.24090497305436,25.944016428276793
-84,23.5
-78,26.5
-70,26.5
-64,25.5
-60,23.5
-48,25.5
-43.443221943232636,26.68761747951805
-39.15053901640337,26.590056503908293
-38,22.5
-37.39444145542776,19.175422357566838
-36,13.5
-35.2188052445331,10.6600847311278
-34,6.5
-32,3.5
-29.19931950420826,-0.04408983755509254
-25.97980730908631,-2.6782361790185045
-20.12614877250095,-5.7026264229209405
-19.98944744636793,-3.1013831587804863
-22,0.5
-24,3.5
-24,7.5
-24,11.5
-24,15.5
-24,19.5
-20,23.5
-16,25.5
-8,27.5
0,25.5
4.047249801338544,24.054580143971865
8,21.5
12,17.5
15.6787292762795,12.736397967322944
21.532387812864858,13.126641869761967
21.629948788474614,13.126641869761967
22.50799756896242,19.37054430878635
25.62994878847461,24.638836991713173
30.3128756177429,27.565666260005855
36,27.5
41.23970488603557,26.882739430737562
46,24.5
50,22.5
60,19.5
62,22.5
66.02019269091359,25.22420284537171
70,26.5
76,27.5
82,26.5
86,24.5
90,22.5
94,18.5
96,15.5
98.02019269091356,9.90712967464002
100,3.5
100,-0.5
104.75190000798672,-1.9953093497502126
108,-2.5
107.4836073250599,3.4681052843961235
106.21531464213307,8.638836991713191
105.04458293481599,14.102251625859527
103.87385122749892,20.346154064883912
102.70311952018184,25.51688577220098
108.26409512993794,25.907129674640004
112,25.5
114.41043659335257,19.955910162444887
116,13.5
118,6.5
120,-2.5
125.92263171530378,-1.9953093497502126
131.09336342262085,-1.8977483741404564
130.60555854457206,3.3705443087863673
130.3128756177428,9.224202845371726
129.33726586164522,15.858349186835135
128.16653415432816,22.10225162585952
129.14214391042572,25.71200772342049
134,26.5
138.5079975689623,27.272983333176587
141.53238781286473,26.980300406347318
142,22.5
142,18.5
137.825070739694,18.004690650249767
137.72750976408426,14.492495528298551
138.5079975689623,8.151032113664412
140,1.5
141.62994878847448,-2.3855532521892364
147.77629025188912,-2.1904313009697245
148,-6.5
148.26409512993789,-10.190431300969717
144,-12.5
144,-18.5
143.87385122749888,-20.82457764243312
139.58116830066962,-20.82457764243312
134,-21.5
134,-17.5
134.11775366652327,-11.751406910725812
129.23970488603547,-11.946528861945325
124,-12.5
124.36165610554768,-16.4343337399941
127.97141220310866,-17.40994349609166
128,-24.5
122,-25.5
116,-24.5
112,-22.5
110,-17.5
109.14214391042574,-11.361163008286788
105.2397048860355,-11.166041057067275
102,-11.5
102,-7.5
102.02019269091356,-2.2879922765794802
98.02019269091356,-4.824577642433137
96.26409512993796,-8.531894715603864
92,-12.5
84,-14.5
80,-4.5
76,-2.5
73.92263171530382,1.9071296746400275
72,5.5
71.67872927627944,10.88273943073758
72,15.5
78,16.5
82,14.5
86.6055585445721,11.955910162444894
88,7.5
88,3.5
88,-0.5
84.75190000798675,-3.1660410570672846
78.2153146421331,-12.824577642433129
72,-12.5
68,-10.5
62,-5.5
60,-2.5
58,0.5
58,4.5
58,8.5
58,12.5
58,16.5
52.45921708115751,16.638836991713184
51.3860463494502,10.980300406347334
47.190924398230685,7.175422357566851
43.09336342262093,4.346154064883927
40.459217081157526,1.4193247965912474
37.6299487884746,-1.1172605692624085
35.97141220310875,-4.044089837555088
37.82507073969411,-6.873358130238012
42,-5.5
44.55677805676727,-0.8245776424331405
48.55677805676727,-0.9221386180428965
52.06897317871849,-1.1172605692624085
51.190924398230685,-5.019699593652648
49.43482683725507,-9.409943496091667
46,-13.5
41.72750976408435,-13.605065447311176
36.556778056767286,-13.9953093497502
31.093363422620946,-13.605065447311176
26.995802447011194,-12.53189471560386
24.264095129938028,-7.556284959506304
24.556778056767296,-1.8977483741404564
29.142143910425826,1.0290808941522234
32.84946098359656,4.248593089274172
36.36165610554777,6.882739430737583
39.678729276279476,9.712007723420507
42,14.5
38.31287561774289,17.7120077234205
34,18.5
30,16.5
26,12.5
12.947021959206332,12.05347113805465
6.117753666523412,10.199812601469286
1.9226317153039043,12.05347113805465
-2,14.5
-10,16.5
-12,9.5
-10,2.5
-6,-3.5
0,-4.5
4.45921708115756,-1.7026264229209445
6,2.5
6,6.5
12.849460983596575,7.370544308786363
17.82507073969413,6.004690650249779
17.044582934816084,2.2973735770790515
16,-2.5
14.410436593352673,-5.897748374140452
12,-10.5
8,-12.5
2,-13.5
-6,-13.5
-10.662734138354619,-10.775797154628252
-16,-8.5
-17.971098822514712,-5.303218021165812
-20,-12.5
-25.7846853578668,-11.848967886335569
-32,-12.5
-36.418831699330205,-12.044089837555081
-40.906636577378976,-12.239211788774591
-42,-7.5
-42.95541706518385,-2.1904313009697245
-44,1.5
-44.906636577378976,7.565666260005875
-46,12.5
-46.95541706518385,19.37054430878635
-57.4920024310375,21.126641869761958
-53.68712438225701,16.541276016103428
-52.32127072372043,11.955910162444894
-55.74090497305427,11.819016428276756
-60,11.5
-66,14.5
-70,16.5
-76,13.5
-76,9.5
-74,2.5
-70,-3.5
-66,-3.5
-59.83346584567164,1.0290808941522234
-55.9310268212814,1.3217638209814915
-52.02858779689116,1.3217638209814915
-53.97980730908628,-5.800187398530697
-58.56517316274481,-10.775797154628252
-66,-13.5
-72,-12.5
-75.74090497305431,-9.6809835717233
-80,-8.5
-84,-4.5
-86.24090497305433,-0.4309835717232755
-88,3.5
-88,7.5
-88,11.5
-88,15.5
-86.49090497305434,20.19401642827678
-96.36590497305436,21.944016428276782
-95.61590497305436,16.56901642827677
-94.66273413835454,13.126641869761967
-93.86590497305436,9.44401642827675
-93.19931950420819,5.029080894152219
-91.49090497305434,0.06901642827672579
-90.27249023591551,-3.6538459351160646
-88.24090497305434,-8.180983571723296
-87.44322194323259,-11.653845935116056
-93.29688047981794,-18.09287032535995
-96.32127072372039,-18.483114227798975
-96.12614877250087,-20.33677276438434
-95.8334658456716,-23.166041057067265
-96.12614877250087,-25.70262642292092
-93.19931950420819,-26.1904313009697
-90.077368284696,-26.092870325359943
-87.15053901640331,-26.483114227798968
-87.15053901640331,-22.77579715462824
-87.24809999201308,-20.33677276438434
-86.66273413835454,-18.09287032535995
-89.97980730908624,-17.995309349750197
-97.3944414554277,-12.824577642433129
-98.61590497305437,-8.930983571723297
-99.54078291884232,-5.312382520481917
-100.86590497305437,-0.8059835717232765
-102,2.5
-103.24090497305438,6.819016428276743
-104,9.5
-105.11590497305438,14.819016428276763
-106,18.5
-106.74090497305438,22.694016428276782
-114.11590497305441,21.944016428276782
-112.80907560176915,16.931519918542453
-111.3659049730544,13.31901642827676
-110,8.5
-108.9909049730544,4.444016428276737
-108,-0.5
-106,-7.5
-104.86590497305438,-11.055983571723303
-104,-16.5
-103.05297804079355,-21.507504471701413
-104,-26.5
-112,-26.5
-120,-26.5
-124,-24.5
-126,-19.5
-128,-14.5
-130,-9.5
-134,-3.5
-135.61482165168132,-9.435723338095672
-136.60073714463906,-14.928681084574558
-137.72749770801934,-20.985019112743586
-140,-26.5
-148,-26.5
-156,-26.5
-158,-23.5
-160,-18.5
-160.8659049730545,-12.930983571723308
-162,-9.5
-162.86590497305454,-5.305983571723288
-164,-2.5
-164.86590497305454,3.0690164282767336
-166,6.5
-166.99090497305454,12.569016428276758
-168,17.5
-168.99090497305454,22.444016428276782
