x,y
-105.45044605152002,125.57319599873327
-112,115.5
-112,107.5
-110,100.5
-104,87.5
-98,80.5
-92,71.5
-84,57.5
-78,44.5
-73.0180136190876,29.89752032305763
-71.39639199746598,18.005628431165743
-70,2.5
-68.15314875422274,-10.102479676942355
-68,-24.5
-66,-41.5
-66,-55.5
-64,-70.5
-61.66666226773625,-84.15653373099637
-68,-94.5
-78.96395956503355,-91.72410129856394
-90,-89.5
-98,-85.5
-106,-81.5
-112.47747307854704,-74.42680400126665
-120,-66.5
-126,-57.5
-138,-53.5
-136,-70.5
-130,-87.5
-122,-101.5
-116,-110.5
-108,-118.5
-98,-125.5
-90,-129.5
-82,-133.5
-71.39639199746598,-134.96734454180717
-62,-137.5
-49.23422983530382,-137.12950670396933
-38,-137.5
-22,-137.5
-6,-137.5
10,-137.5
26,-137.5
42,-137.5
58,-137.5
74,-137.5
90,-137.5
106,-137.5
122,-137.5
138,-137.5
140,-130.5
140,-122.5
140,-114.5
140,-106.5
140,-98.5
128,-94.5
112,-94.5
96,-94.5
80,-94.5
72,-88.5
72,-80.5
70,-65.5
68,-54.5
67.52252692145288,-44.697074271536934
66.98198638091235,-36.04842562288829
66,-25.5
64,-6.5
62,4.5
62.11712151604748,22.329952755490066
64,37.5
64,45.5
66,56.5
68,63.5
74,74.5
87.52252692145288,83.95157437711165
104,87.5
116,79.5
124,65.5
132,55.5
138,68.5
136,81.5
128,101.5
122,112.5
116,121.5
97.2522566511826,133.14076356630082
78,138.5
60,133.5
52,127.5
44,119.5
38,108.5
32,89.5
29.684689083615062,77.46508789062517
28,61.5
28.60360800253398,46.11373653927384
28,29.5
28,21.5
28,13.5
29.14414854307452,0.7083311338684519
30,-13.5
32,-30.5
34.009013407939385,-40.37274994721261
34,-53.5
35.090094489020466,-64.69707427153692
36,-76.5
38,-91.5
28,-94.5
12,-94.5
-4,-94.5
-20,-94.5
-28,-80.5
-30,-69.5
-30,-59.5
-32,-44.5
-32,-36.5
-32,-30.5
-33.55855415962816,-19.29166886613154
-36,-8.5
-36,1.5
-38,18.5
-40,37.5
-44,55.5
-44.909905510979506,69.35697978251707
-48,81.5
-52,95.5
-54,104.5
-58,112.5
-62,120.5
-66,126.5
-74,132.5
-82,136.5
-94,134.5
