x,y
-4,175.5
0,182.5
9.076728156733395,188.09197803450223
20,185.5
28,178.5
36,168.5
44,169.5
52,178.5
64,180.5
76,171.5
84,164.5
92,154.5
96,146.5
100,131.5
100,127.5
100,123.5
96,107.5
92,97.5
87.9320689410969,87.91456093512711
86.97968798871595,79.34313236369853
88.88444989347785,68.54948157004772
92,57.5
100,49.5
116,49.5
132,47.5
148,43.5
156,39.5
164,31.5
168,21.5
168.27027656244496,13.561074030159382
168,4.5
164,-9.5
160,-18.5
156,-27.5
152,-35.5
148,-43.5
140,-55.5
132,-66.5
124,-76.5
116,-86.5
108,-96.5
100,-105.5
92,-113.5
88,-119.5
80,-127.5
72,-135.5
64,-143.5
56,-150.5
48,-157.5
40,-164.5
28,-173.5
16,-181.5
4.188643909383687,-185.62259943922842
-8.872580580412235,-190.92872188820803
-8,-178.5
4,-174.5
12,-168.5
20,-161.5
28,-154.5
36,-147.5
48,-137.5
56,-129.5
64,-121.5
68,-115.5
76,-107.5
84,-99.5
88,-93.5
96,-84.5
100,-78.5
108,-70.5
112,-63.5
120,-52.5
128,-42.5
132,-35.5
136,-27.5
140.92333778693475,-20.724640255554913
144,-14.5
148,-6.5
148.27027656244496,2.9488291322001947
147.86211329713882,11.520257703628769
148,18.5
140,25.5
124,31.5
108,35.5
92,37.5
84,43.5
84,47.5
80.92333778693475,52.33658423424102
80,56.5
76,61.5
76,64.5
76,68.5
76,72.5
72,79.5
72,83.5
72,87.5
72,91.5
74.91619592522387,98.70821172877791
77.4558784649064,105.6923387129049
79.67810068712863,111.0891641097303
80,116.5
80.31302132204927,122.51773553830175
80,128.5
83.48762449665244,133.94630696687318
80,140.5
72,151.5
64,158.5
56,158.5
48,150.5
42.26821751843553,145.53878654514054
36,143.5
36,136.5
36,132.5
36,139.5
32,151.5
24,163.5
12,169.5
4,164.5
-4,152.5
-12,149.5
-12,141.5
-12,145.5
-16,156.5
-20,163.5
-28,169.5
-40,163.5
-48,153.5
-52,141.5
-56,138.5
-56,129.5
-56,133.5
-60,145.5
-68,156.5
-80,160.5
-88,154.5
-96,144.5
-100,136.5
-100.70931527428979,126.21413525464921
-100,114.5
-96,106.5
-92,97.5
-90.91339690694285,87.03046178526144
-92,73.5
-93.77053976408571,67.43862505056757
-96,59.5
-99.89298874367755,50.703931173016535
-96,36.5
-100,29.5
-100,25.5
-100,21.5
-104,20.5
-100,17.5
-104,16.5
-104,12.5
-104,8.5
-104,4.5
-104,0.5
-104,-0.5
-104,-4.5
-100,-11.5
-100,-15.5
-96,-22.5
-92,-30.5
-84,-39.5
-76,-45.5
-64,-49.5
-48,-51.5
-32,-49.5
-20,-44.5
-8,-41.5
8,-47.5
24,-51.5
40,-50.5
56,-46.5
64,-41.5
72,-33.5
76,-26.5
79.28949411418021,-20.418660263370132
82.26821751843553,-14.88674536975311
84,-7.5
83.97034517801,1.7089993110979576
84.39587709290362,10.219637608970299
84,19.5
80.99162177375469,26.815382289821365
80,33.5
76,42.5
68,51.5
60,58.5
52,62.5
40,66.5
32.90651539077595,67.24091420471498
24,66.5
16.736302624818503,65.1132546302469
8,61.5
-4,56.5
-20,58.5
-28,62.5
-40,66.5
-47.519016524117674,68.51750994939584
-56,66.5
-63.689229290075126,65.96431846003414
-72,62.5
-80,57.5
-88,50.5
-84,33.5
-88,26.5
-92,16.5
-92.62539950284109,5.964318460034129
-92.19986758794747,-1.2697240931573621
-92,-11.5
-88,-22.5
-80,-32.5
-72,-39.5
-60,-44.5
-44,-45.5
-32,-41.5
-28,-29.5
-23.263697375181504,-22.546319837838215
-20,-16.5
-20,-12.5
-20,-8.5
-28,3.5
-40,10.5
-56,9.5
-64,4.5
-68,-2.5
-72,-5.5
-72,-7.5
-72,-12.5
-72,-16.5
-72,-20.5
-67.9445484390113,-25.525043242093535
-64,-30.5
-56,-35.5
-40,-36.5
-20,-34.5
-14.99502956000405,-30.112395357595734
-8.872580580412212,-23.58178311269777
-2.3419683355142507,-30.112395357595734
4,-35.5
20,-35.5
28.27027656244494,-35.41851780657532
36,-35.5
44,-31.5
52,-21.5
52,-3.5
40,7.5
24,10.5
12,5.5
4,-4.5
0,-8.5
0,-12.5
0,-16.5
3.1192813482227564,-22.546319837838215
8,-28.5
14.608643050350418,-31.482490050604174
16,-42.5
32,-45.5
48,-42.5
60,-35.5
68,-26.5
72,-18.5
76,-11.5
76,-7.5
76,-3.5
76,0.5
76,4.5
76,8.5
76,12.5
76,16.5
72,23.5
68,31.5
60,39.5
48,46.5
36,50.5
28.65119624183978,51.49623335365116
20,48.5
8,43.5
1.842685603541905,37.879212077055406
-4,32.5
-12,29.5
-20,38.5
-28,44.5
-36,48.5
-43.26369737518151,51.07070143875754
-52,50.5
-60.28497397092619,49.36857377918307
-68,46.5
-76,41.5
-92,44.5
-104,40.5
-116,36.5
-132,34.5
-148,29.5
-160,23.5
-168,12.5
-168,8.5
-164,-6.5
-160,-16.5
-156,-25.5
-148,-37.5
-140,-49.5
-136,-56.5
-128,-66.5
-124,-72.5
-116,-80.5
-112,-86.5
-104,-95.5
-96,-104.5
-88,-113.5
-80,-121.5
-72,-129.5
-64,-137.5
-56,-145.5
-48,-152.5
-40,-159.5
-32,-167.5
-20,-175.5
-17.44400915184081,-187.66341576575905
-28,-185.5
-36,-179.5
-48,-172.5
-56,-165.5
-64,-158.5
-72,-151.5
-80,-143.5
-88,-136.5
-96,-128.5
-104,-120.5
-112,-112.5
-120,-103.5
-124,-97.5
-132,-88.5
-140,-78.5
-148,-68.5
-156,-58.5
-160,-51.5
-164,-44.5
-172,-32.5
-176,-23.5
-180,-13.5
-180,-9.5
-184,-2.5
-184,1.5
-184,4.5
-184,8.5
-188,16.5
-188,21.5
-183.9746213967388,28.663114846485918
-180,34.5
-172,41.5
-160,45.5
-144,48.5
-128,49.5
-118.66849894775918,50.703931173016535
-112.13788670286122,53.561074030159396
-109.28074384571836,61.724339336281844
-108,70.5
-108,74.5
-108,78.5
-108,82.5
-108,86.5
-108,90.5
-108,94.5
-109.28074384571836,99.68352300975124
-112,102.5
-113.77053976408571,107.03046178526145
-116,109.5
-116,113.5
-116,117.5
-116,121.5
-116,125.5
-116,129.5
-115.81135609061633,137.64270668322064
-116,143.5
-112,150.5
-104,161.5
-96,169.5
-88,176.5
-76,181.5
-64,172.5
-60,164.5
-56,161.5
-52,170.5
-48,177.5
-37.73178248156449,182.98559505577884
-29.221144183692143,187.66644611960862
-20,184.5
